"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"KALLAKURICHI","0.016136840406648378%","0.07261578182991771%","99.91124737776343%","41.17599612840781%","46.305855783190836%","12.518148088401356%","64.39228970078233%","33.446245664972984%","2.1614646342446973%","0.15338661499959635%","21.918139985468635%","77.92847339953177%","3.2951057987401065%","96.70489420125989%","1.3738483917892355%","97.10683691611443%","1.519314692096331%"
"DHARMAPURI","0.049509852460639665%","0.049509852460639665%","99.90098029507872%","48.415527827292536%","37.0667458902753%","14.517726282432164%","34.08910891089109%","61.06930693069307%","4.841584158415841%","0.7727362789776104%","8.500099068753714%","90.72716465226867%","3.199603764239723%","96.80039623576027%","0.9418062853177357%","96.12372360463964%","2.934470110042629%"
"KRISHNAGIRI","0%","0.043687199650502405%","99.9563128003495%","43.61460517120894%","27.9874213836478%","28.397973445143258%","23.908106219426973%","48.445143256464014%","27.646750524109013%","10.297202797202797%","17.85839160839161%","71.8444055944056%","0.7258417140358548%","99.27415828596415%","2.9136407384723073%","94.77644588327938%","2.3099133782483157%"
"TIRUVANNAMALAI","0.04496065942300487%","1.277632071937055%","98.67740726863994%","40.57038062801752%","39.57109173247502%","19.858527639507468%","9.705398534469866%","63.22341857335128%","27.071182892178854%","0.5706348312497653%","8.082742050531216%","91.34662311821901%","0.252411091018686%","99.74758890898131%","1.4265173301044347%","97.3550779476313%","1.218404722264265%"
"Ranipet","0.05203590477429426%","0.013008976193573565%","99.93495511903214%","47.56145142411237%","50.85186630251008%","1.5866822733775523%","1.558846453624318%","71.61600415692388%","26.825149389451806%","4.3087737568341575%","11.572507159593856%","84.11871908357199%","0.6132567849686847%","99.38674321503132%","0.17069327731092437%","95.08928571428571%","4.740021008403361%"
"COIMBATORE","0.0330742516950554%","1.0087646766991898%","98.95816107160576%","11.423375764589188%","51.793684906596134%","36.78293932881468%","94.46280991735537%","5.404958677685951%","0.1322314049586777%","1.0936205468102733%","8.483844241922121%","90.4225352112676%","1.1774461028192371%","98.82255389718077%","0.11637572734829593%","90.85619285120532%","9.027431421446384%"
"NAGAPATTINAM","0.12663036596175764%","0.05065214638470305%","99.82271748765353%","55.13616212792907%","36.352121595946805%","8.51171627612413%","29.009374208259437%","64.50468710412972%","6.485938687610844%","0.697261663286004%","10.218052738336715%","89.08468559837728%","3.368367734582753%","96.63163226541725%","0.36736762097795794%","99.15125411705093%","0.4813782619711173%"
"THIRUVARUR","0%","0.15926610180289227%","99.8407338981971%","68.1276677072052%","17.97795757151048%","13.894374721284322%","61.545321358048284%","21.975922033250527%","16.47875660870119%","3.357971199184402%","5.0146552822734805%","91.62737351854211%","4.937878305192736%","95.06212169480726%","0.01911802192199847%","98.51516696405812%","1.4657150140198827%"
"VILLUPURAM","0.04641567818463126%","0.030943785456420837%","99.92264053635895%","46.99329551315111%","34.853017019082%","18.15368746776689%","28.646558391337972%","63.320443413250835%","8.032998195411189%","3.6221041225942936%","14.33878540838966%","82.03911046901605%","2.2093743547387983%","97.7906256452612%","0.8371227780074411%","98.77532038032244%","0.3875568416701116%"
"TIRUPPUR","0.07620291748312649%","0.054430655345090354%","99.86936642717178%","1.6104461371055494%","81.1316648531012%","17.257889009793253%","96.62823580596041%","3.1759843376114856%","0.19577985642810528%","0.11982570806100218%","1.0893246187363834%","98.79084967320262%","1.0683527744467458%","98.93164722555325%","0.10905125408942203%","83.3587786259542%","16.53217011995638%"
"TENKASI","0.014072614691809739%","0%","99.98592738530819%","88.59390363815143%","9.776654024441635%","1.6294423374069391%","85.94276094276094%","11.9668911335578%","2.090347923681257%","0.05647324579980234%","0.042354934349851756%","99.90117181985035%","0.554449815183395%","99.44555018481661%","2.373759171342253%","94.63386563084448%","2.9923751978132644%"
"MADURAI","0.06816051801993696%","0.07668058277242908%","99.85515889920764%","34.79557069846678%","53.91822827938671%","11.286201022146507%","62.505322319679806%","34.054330239291495%","3.440347441028698%","7.256139154160982%","34.57537517053206%","58.16848567530696%","1.3385625373007077%","98.6614374626993%","0.7688364941055869%","97.1125918332479%","2.1185716726465063%"
"PUDUKKOTTAI","0.0909472505946551%","0.07695536588778508%","99.83209738351756%","7.091900965169954%","85.74625821793258%","7.1618408168974685%","18.174186778593914%","73.66911507520112%","8.156698146204967%","0.11898096304591266%","0.6438969764837627%","99.23712206047033%","0.43405208625035%","99.56594791374965%","0.2171628721541156%","99.37653239929948%","0.4063047285464098%"
"KARUR","0.029850746268656716%","0.05970149253731343%","99.91044776119404%","26.65671641791045%","40.985074626865675%","32.35820895522388%","61.97014925373134%","33.26865671641791%","4.7611940298507465%","0.46289383305957893%","11.647006122144244%","87.89010004479617%","1.299477221807319%","98.70052277819268%","1.0601761982977453%","89.68194714051067%","9.257876661191577%"
"THIRUVALLUR","0.04927148588723868%","0.0774266206799465%","99.87330189343281%","49.99648407285001%","29.062653821812813%","20.940862105337178%","4.823173732686493%","48.83639175982564%","46.34043450748787%","0.2959830866807611%","2.7343199436222694%","96.96969696969697%","1.6940777864050258%","98.30592221359497%","15.567338282078474%","83.64793213149522%","0.7847295864262991%"
"CHENGALPATTU","0.0427807486631016%","2.5668449197860963%","97.3903743315508%","33.3903743315508%","27.294117647058822%","39.31550802139037%","14.004493420348775%","46.84925644591848%","39.14625013373275%","10.621456840303775%","11.808749598887582%","77.56979356080865%","2.2462295432666597%","97.75377045673333%","3.486631016042781%","95.02673796791444%","1.4866310160427807%"
"THE NILGIRIS","0%","27.218045112781954%","72.78195488721805%","97.61194029850746%","2.388059701492537%","0%","69.70149253731343%","21.19402985074627%","9.104477611940299%","60.17964071856287%","14.221556886227544%","25.59880239520958%","0.5997001499250375%","99.40029985007496%","28.22822822822823%","71.62162162162163%","0.15015015015015015%"
"Mayiladuthurai","0.04081632653061224%","1.1156462585034013%","98.84353741496598%","48.6530612244898%","34.27210884353742%","17.07482993197279%","39.59183673469388%","51.72789115646258%","8.680272108843537%","0.8168822328114363%","18.42069434989789%","80.76242341729068%","0.06803646754660499%","99.9319635324534%","0%","99.53735202068309%","0.46264797931691387%"
